,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
141,Patson Daka,17.0,7.0,4.0,127.0,888.0,24200000.0,24200000.0,23.0,1.83,77.0,84.0,1.0,3.0,3.0,51.0,82.0,67.0,68.0,73.0,74.0,65.0,35.0,61.0,76.0,92.0,94.0,89.0,77.0,74.0,76.0,89.0,82.0,67.0,71.0,63.0,17.0,80.0,53.0,75.0,69.0,24.0,16.0,79.0,18.0
142,Jonathan Ikoné,27.0,2.0,3.0,732.0,1463.0,24200000.0,24200000.0,23.0,1.75,79.0,83.0,3.0,3.0,4.0,73.0,70.0,39.0,74.0,59.0,83.0,78.0,72.0,65.0,81.0,90.0,89.0,92.0,76.0,82.0,75.0,33.0,72.0,55.0,68.0,65.0,34.0,76.0,79.0,70.0,79.0,36.0,36.0,81.0,32.0
144,Jonathan Bamba,19.0,0.0,3.0,0.0,1493.0,24200000.0,8800000.0,25.0,1.75,80.0,83.0,2.0,4.0,4.0,74.0,73.0,61.0,75.0,68.0,80.0,75.0,67.0,66.0,81.0,89.0,89.0,83.0,76.0,84.0,78.0,73.0,82.0,64.0,73.0,62.0,36.0,79.0,77.0,76.0,78.0,39.0,38.0,81.0,33.0
145,Demarai Gray,21.0,6.0,2.0,266.0,1593.0,24200000.0,8800000.0,25.0,1.83,75.0,78.0,2.0,4.0,4.0,67.0,75.0,31.0,68.0,54.0,83.0,68.0,60.0,59.0,78.0,89.0,84.0,84.0,66.0,76.0,78.0,51.0,66.0,56.0,65.0,41.0,25.0,69.0,71.0,57.0,60.0,45.0,31.0,76.0,42.0
146,Daniel Podence,17.0,4.0,2.0,211.0,842.0,24200000.0,6600000.0,26.0,1.65,78.0,81.0,1.0,4.0,4.0,66.0,67.0,42.0,75.0,57.0,86.0,75.0,42.0,70.0,82.0,94.0,86.0,92.0,77.0,93.0,66.0,65.0,75.0,30.0,57.0,67.0,21.0,76.0,78.0,63.0,78.0,30.0,29.0,80.0,42.0
147,Raúl Jiménez,20.0,4.0,3.0,395.0,1579.0,24200000.0,38500000.0,30.0,1.88,83.0,83.0,3.0,4.0,3.0,73.0,84.0,85.0,81.0,82.0,84.0,75.0,51.0,75.0,82.0,63.0,80.0,75.0,82.0,65.0,84.0,74.0,82.0,84.0,74.0,81.0,53.0,84.0,78.0,92.0,81.0,38.0,30.0,83.0,45.0
148,Danny Ings,16.0,4.0,2.0,301.0,1204.0,24200000.0,24200000.0,29.0,1.78,81.0,81.0,1.0,4.0,3.0,66.0,86.0,78.0,75.0,76.0,78.0,72.0,70.0,61.0,81.0,82.0,76.0,77.0,86.0,77.0,83.0,79.0,74.0,69.0,83.0,67.0,46.0,86.0,72.0,81.0,85.0,45.0,34.0,81.0,38.0
150,Luis Muriel,19.0,6.0,5.0,132.0,794.0,24200000.0,14300000.0,30.0,1.79,82.0,82.0,2.0,4.0,4.0,71.0,84.0,69.0,80.0,78.0,88.0,79.0,78.0,55.0,83.0,87.0,90.0,85.0,84.0,88.0,81.0,60.0,73.0,72.0,84.0,50.0,16.0,83.0,78.0,89.0,82.0,24.0,22.0,83.0,26.0
151,Kevin Volland,30.0,10.0,8.0,224.0,2236.0,24200000.0,30800000.0,29.0,1.79,83.0,83.0,2.0,4.0,3.0,78.0,86.0,76.0,81.0,85.0,80.0,79.0,80.0,74.0,80.0,76.0,70.0,75.0,85.0,83.0,87.0,77.0,90.0,87.0,84.0,80.0,45.0,86.0,82.0,72.0,86.0,50.0,33.0,83.0,22.0
152,Lucas Moura,27.0,6.0,5.0,302.0,1809.0,24200000.0,30800000.0,29.0,1.72,81.0,81.0,3.0,4.0,4.0,70.0,79.0,65.0,72.0,70.0,88.0,71.0,71.0,66.0,82.0,93.0,88.0,93.0,79.0,92.0,85.0,95.0,75.0,57.0,75.0,78.0,50.0,78.0,70.0,74.0,81.0,43.0,44.0,81.0,31.0
153,Yussuf Poulsen,17.0,4.0,3.0,208.0,830.0,23100000.0,440000.0,27.0,1.92,77.0,78.0,2.0,3.0,3.0,68.0,74.0,85.0,73.0,75.0,75.0,70.0,42.0,53.0,75.0,80.0,84.0,69.0,80.0,54.0,73.0,83.0,86.0,78.0,58.0,83.0,51.0,81.0,69.0,58.0,72.0,59.0,32.0,78.0,53.0
154,Kamaldeen Sulemana,25.0,5.0,2.0,274.0,1371.0,22000000.0,9900000.0,19.0,1.75,72.0,84.0,1.0,4.0,4.0,57.0,70.0,42.0,66.0,58.0,75.0,65.0,50.0,48.0,73.0,92.0,93.0,89.0,62.0,89.0,64.0,78.0,71.0,61.0,61.0,52.0,26.0,67.0,64.0,56.0,71.0,25.0,25.0,72.0,30.0
155,Sofiane Diop,29.0,7.0,5.0,247.0,1727.0,22000000.0,2970000.0,21.0,1.75,77.0,84.0,1.0,3.0,4.0,69.0,69.0,39.0,75.0,62.0,83.0,74.0,69.0,68.0,81.0,78.0,73.0,84.0,76.0,86.0,74.0,53.0,79.0,36.0,69.0,68.0,56.0,76.0,77.0,60.0,77.0,58.0,46.0,79.0,56.0
156,Musa Barrow,19.0,5.0,4.0,264.0,1318.0,22000000.0,22000000.0,23.0,1.84,76.0,83.0,1.0,4.0,3.0,65.0,76.0,63.0,73.0,60.0,80.0,60.0,56.0,58.0,78.0,83.0,85.0,78.0,77.0,57.0,74.0,53.0,73.0,68.0,75.0,40.0,20.0,78.0,72.0,58.0,67.0,20.0,16.0,78.0,45.0
158,David Neres,22.0,4.0,2.0,196.0,785.0,22000000.0,22000000.0,24.0,1.76,79.0,83.0,3.0,3.0,5.0,67.0,74.0,45.0,78.0,72.0,85.0,70.0,52.0,69.0,85.0,86.0,85.0,90.0,75.0,86.0,73.0,56.0,73.0,64.0,67.0,55.0,35.0,75.0,79.0,69.0,79.0,32.0,29.0,82.0,42.0
159,Giacomo Raspadori,21.0,6.0,4.0,241.0,1444.0,22000000.0,220000.0,21.0,1.72,74.0,88.0,2.0,5.0,4.0,43.0,76.0,69.0,77.0,65.0,77.0,62.0,60.0,52.0,79.0,82.0,73.0,77.0,74.0,85.0,71.0,60.0,62.0,51.0,71.0,45.0,18.0,77.0,67.0,76.0,69.0,23.0,21.0,76.0,21.0
160,Samuel Chukwueze,17.0,5.0,1.0,128.0,640.0,22000000.0,550000.0,22.0,1.72,77.0,85.0,1.0,2.0,4.0,69.0,73.0,44.0,69.0,70.0,87.0,71.0,58.0,56.0,80.0,91.0,84.0,86.0,72.0,80.0,76.0,67.0,72.0,63.0,74.0,47.0,33.0,75.0,68.0,55.0,72.0,32.0,33.0,78.0,40.0
